Views,Watch time (hours),Average view duration (Seconds),Average percentage viewed (%),Likes,Dislikes,Likes (vs. dislikes) (%),Comments added,Shares,Subscribers,Subscribers gained,Subscribers lost,Videos published,Estimated revenue (USD)
624045,23864.2045,137,51.16,8493,202,97.68,423,941,560,669,109,0,49.589
550424,29385.9322,192,25.37,4972,640,88.6,1014,646,2201,2362,161,0,238.918
547705,23194.9381,152,27.9,4206,794,84.12,893,559,1606,1777,171,2,91.301
368602,13957.1052,136,54.08,4345,110,97.53,422,870,340,415,75,11,148.519
353465,13010.0851,132,48.93,5181,111,97.9,180,433,280,342,62,0,0.008
339368,12501.5855,132,53.92,2744,81,97.13,266,334,429,473,44,13,70.529
289112,11518.0178,143,52.97,2236,65,97.18,187,1362,428,493,65,0,190.894
264462,9388.5685,127,52.67,2444,54,97.84,144,680,286,316,30,0,27.505
249503,9042.0123,130,46.81,2395,53,97.83,112,483,179,226,47,0,17.053
245413,8096.6232,118,53.07,3445,124,96.53,251,884,326,366,40,0,303.638
225356,8621.3209,137,54.59,2335,57,97.62,213,1450,402,440,38,9,248.03
215390,5436.8722,90,43.8,1436,476,75.1,182,63,348,412,64,0,52.376
193006,6947.8511,129,48.44,1944,40,97.98,142,392,143,193,50,9,73.856
187532,6912.5877,132,49.18,3196,95,97.11,88,267,170,205,35,0,0.021
186397,6933.8246,133,47.63,919,32,96.64,54,257,259,303,44,0,156.77
177504,6046.5073,122,56.57,1629,379,81.13,286,92,345,424,79,0,26.549
166595,4685.4065,101,56.36,1330,57,95.89,130,394,82,117,35,22,163.536
158785,4757.062,107,50.55,1090,344,76.01,184,59,287,338,51,0,38.668
153165,5558.4084,130,53.28,1758,57,96.86,153,45,207,237,30,11,82.239
151713,5951.4126,141,48.91,1053,44,95.99,88,332,229,268,39,9,121.369
148869,4545.4455,109,51.71,2173,111,95.14,125,230,207,230,23,0,0.025
146972,7629.4637,186,25.66,1337,226,85.54,268,208,594,635,41,0,73.468
142588,4026.6203,101,50.88,2696,101,96.39,133,29,185,207,22,0,0.031
122757,3623.8588,106,52.05,1998,83,96.01,127,18,153,199,46,0,0.028
122756,4229.6318,124,51.45,1184,35,97.13,88,353,121,139,18,0,0.049
121424,4147.8742,122,45.03,1067,21,98.07,40,281,93,112,19,0,0.011
118556,4913.739,149,51.52,693,200,77.6,164,222,91,112,21,10,111.375
114807,4101.9943,128,48.43,1936,44,97.78,49,195,113,133,20,0,0.013
114303,4623.6464,145,53.03,1172,24,97.99,120,656,394,419,25,8,109.906
103233,3695.1025,128,49.23,1081,39,96.52,48,265,87,119,32,0,17.405
100364,4068.1616,145,55.89,701,20,97.23,55,357,97,113,16,0,0.044
96994,3741.2998,138,50.96,1225,25,98,111,468,96,116,20,11,63.891
89277,2623.0092,105,50.17,1386,58,95.98,75,18,111,139,28,0,0.031
88216,2208.3212,90,36.15,544,70,88.6,225,183,129,160,31,0,38.975
88213,2593.3886,105,54.98,469,29,94.18,42,188,38,52,14,0,33.612
84207,2778.6299,118,48.12,910,35,96.3,49,174,74,94,20,2,0.019
83186,2879.972,124,47.93,1177,35,97.11,38,149,85,106,21,0,0.018
78362,3344.927,153,43.64,827,104,88.83,51,39,196,223,27,0,19.516
74013,3554.7093,172,9.17,544,82,86.9,89,51,181,204,23,0,54.621
